
@relation 'Luv'
@attribute x real
@attribute y real
@attribute L real
@attribute U real
@attribute V real
@data
2,51,84.701590,6.760219,-8.734251
2,52,85.471497,6.742481,-7.779588
2,53,86.481207,5.816452,-6.597489
2,54,86.675505,5.055830,-4.696929
2,55,87.512266,4.481675,-3.524665
2,56,87.661631,4.902996,-5.434046
2,57,88.375864,4.547495,-5.430614
2,58,88.497292,3.190409,-4.122030
2,59,89.305466,2.656319,-2.992292
2,60,89.174740,1.814914,-2.785734
2,61,89.542363,1.803515,-2.768238
2,62,89.305466,2.656319,-2.992292
2,63,89.331992,2.593320,-3.789430
2,64,89.423331,3.140211,-4.057175
2,65,89.606599,3.130415,-4.044518
2,66,89.983644,3.460814,-3.168021
2,67,89.775027,4.246885,-4.181401
2,68,89.865604,4.785911,-4.446171
2,69,89.132316,4.846050,-4.502041
2,70,88.548278,5.680172,-5.565439
2,71,87.823496,5.683309,-6.446467
2,72,87.267407,4.568175,-6.354758
2,73,87.267407,4.568175,-6.354758
2,74,87.893164,3.658974,-6.071359
2,75,88.258132,2.158022,-6.347555
2,76,88.472846,1.358054,-5.307725
2,77,88.378748,1.920216,-5.593302
2,78,87.758852,2.804448,-5.869357
2,79,88.617693,3.288278,-6.458844
2,80,88.751969,1.907998,-5.557714
2,81,89.490536,1.884154,-5.488258
2,82,90.051883,0.748146,-5.289231
2,83,90.490004,1.312290,-5.128867
2,84,90.347077,2.683548,-5.616329
2,85,90.579371,1.849789,-5.388160
2,86,91.027070,1.300487,-5.082736
2,87,90.553462,1.909822,-4.613074
2,88,90.680834,2.728748,-4.809657
2,89,90.178722,3.038725,-4.789502
2,90,89.815515,3.057482,-4.819066
2,91,89.893597,3.248747,-5.929088
2,92,90.256271,3.228925,-5.892912
2,93,90.294660,3.512525,-5.828356
2,94,89.879420,4.368992,-6.077676
2,95,89.237988,4.966060,-6.416185
2,96,89.381806,5.758473,-7.004129
2,97,89.144185,6.621276,-7.242403
2,98,88.959298,6.642053,-7.265129
2,99,89.130877,6.656529,-6.848820
3,0,46.389700,-10.493399,-10.865158
3,1,48.841426,-11.323708,-13.992747
3,2,50.565124,-12.150101,-14.522066
3,3,51.473645,-11.897854,-14.220575
3,4,50.101413,-12.281541,-14.679165
3,5,48.599282,-12.667209,-13.476882
3,6,51.022464,-12.022258,-14.369264
3,7,52.945675,-10.976901,-15.186511
3,8,54.417605,-11.724932,-14.174114
3,9,55.231133,-11.513804,-13.918885
3,10,56.804661,-11.119696,-13.442453
3,11,57.941635,-10.846198,-13.111825
3,12,56.026491,-11.312288,-13.675275
3,13,56.776896,-11.096559,-12.729544
3,14,55.998123,-11.289714,-12.951124
3,15,54.387925,-11.703730,-13.426067
3,16,53.554438,-11.926062,-13.681117
3,17,56.389604,-11.192052,-12.839090
3,18,57.539350,-10.911776,-12.517568
3,19,57.539350,-10.911776,-12.517568
3,20,56.776896,-11.096559,-12.729544
3,21,57.160109,-11.003158,-12.622398
3,22,57.914718,-10.822343,-12.414974
3,23,57.566542,-10.935407,-13.219668
